acousticness,album,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence,lyrics
0.851,The Incident,https://api.spotify.com/v1/audio-analysis/0KW5uNlBLcPgrT9Vi2Das1,Porcupine Tree,0.21899999999999997,0.05668711621098861,0.0114,0KW5uNlBLcPgrT9Vi2Das1,0.904,2,0.207,0.8084084423473568,1,Occam's Razor,0.0515,0.6576046288586996,3,https://api.spotify.com/v1/tracks/0KW5uNlBLcPgrT9Vi2Das1,audio_features,spotify:track:0KW5uNlBLcPgrT9Vi2Das1,0.0315,instrumental
0.013000000000000001,The Incident,https://api.spotify.com/v1/audio-analysis/6j2IrhQXfb8iB0AVkHCgjY,Porcupine Tree,0.509,0.16659185516364994,0.527,6j2IrhQXfb8iB0AVkHCgjY,0.0241,10,0.0525,0.3022914135563529,1,The Blind House,0.0314,0.7801713689491269,5,https://api.spotify.com/v1/tracks/6j2IrhQXfb8iB0AVkHCgjY,audio_features,spotify:track:6j2IrhQXfb8iB0AVkHCgjY,0.175,if you want to stay always here all these years a last frontier  it's no concern of theirs the world outside corrupts my child so trust these eyes  faith is in your soul within these walls hormones stall dogs will crawl  the vices and the doubts we resist all this shit so kneel submit  free love free love free love to all my sisters  breathe out blind house you don't need to know their secrets believe me  pray and violate abuse your trust false gods must purge their lust  a family that lies to seal your fate to take the weight of their self-hate  free love free love bring love to all my sisters  breathe out blind house you don't need to know their secrets believe me  breathe out blind house free love feel loved
0.00147,The Incident,https://api.spotify.com/v1/audio-analysis/6cAYNHlOo7IddNDn5cmGAy,Porcupine Tree,0.46399999999999997,0.04137612199251757,0.586,6cAYNHlOo7IddNDn5cmGAy,0.00149,2,0.177,0.26169016472183765,0,Great Expectations,0.0287,0.4112696689607201,4,https://api.spotify.com/v1/tracks/6cAYNHlOo7IddNDn5cmGAy,audio_features,spotify:track:6cAYNHlOo7IddNDn5cmGAy,0.34700000000000003,a summer day in garlands i feel secure a useless faith that i will get you somehow i reach out i wonder where you are now  hey there's you with placid eyes oblivious to what's to come they locked you up so i forgot you forgot you name so strange i wonder if you got out
0.8859999999999999,The Incident,https://api.spotify.com/v1/audio-analysis/0nnvAxEjMPhPGQFj4OrIG9,Porcupine Tree,0.5329999999999999,0.05908748529173845,0.0615,0nnvAxEjMPhPGQFj4OrIG9,0.0162,11,0.126,0.596134828920973,0,Kneel and Disconnect,0.0321,0.4113750619183626,4,https://api.spotify.com/v1/tracks/0nnvAxEjMPhPGQFj4OrIG9,audio_features,spotify:track:0nnvAxEjMPhPGQFj4OrIG9,0.10300000000000001,kneel and disconnect and waste another year fill the application start a new career  kneel and disconnect and waste another year fill the application start a new career
0.0262,The Incident,https://api.spotify.com/v1/audio-analysis/7AryXBNJFKFavtioATZRsC,Porcupine Tree,0.519,0.1359631456932818,0.563,7AryXBNJFKFavtioATZRsC,0.0795,0,0.175,0.262989856751335,1,Drawing the Line,0.0306,0.41110104022849203,4,https://api.spotify.com/v1/tracks/7AryXBNJFKFavtioATZRsC,audio_features,spotify:track:7AryXBNJFKFavtioATZRsC,0.42200000000000004,"camphor crossed with lace it is the witching hour  cinematic but crude  teasing all my feelings out you move away  it seems so natural to you  still the siren climbing up her victory tower  like there's something left to prove  i trap the beads of sweat that run between my eyes  and free the fever to move  i'm drawing the line, i'm drawing the line i'm drawing the line, i draw the line and i have my pride i'm taking control, i'm taking control i'm taking control, i'm taking control and i save my soul i'm shutting you out, i'm shutting you out i'm shutting you out, i'm shutting you out and i have no doubt  dreamt the sound of scissors cutting stitches out then discarding the used recording all my problems onto memory cards your compassion unmoved unto others what they always do to you the most twisted of your rules distill malaise and photograph the hole it leaves running out a copy for you  i'm drawing the line, i'm drawing the line i'm drawing the line, i draw the line and i have my pride i'm taking control, i'm taking control i'm taking control, i'm taking control and i save my soul i'm shutting you out, i'm shutting you out i'm shutting you out, i'm shutting you out and i have no doubt	 i'm drawing the line, i'm drawing the line i'm drawing the line, i draw the line and i have my pride i'm taking control, i'm taking control i'm taking control, i'm taking control and i save my soul"
0.0134,The Incident,https://api.spotify.com/v1/audio-analysis/3qStRkC8ZvpXGpKzlH48hR,Porcupine Tree,0.529,0.1536236211679908,0.73,3qStRkC8ZvpXGpKzlH48hR,0.22,2,0.275,0.29737518718390643,1,The Incident,0.0622,0.8533298904967171,4,https://api.spotify.com/v1/tracks/3qStRkC8ZvpXGpKzlH48hR,audio_features,spotify:track:3qStRkC8ZvpXGpKzlH48hR,0.327,(whispered) get demolished get demolished get demolished you get demolished  get demolished get demolished get demolished you get demolished  at junction eight the traffic starts to slow artilleries of braking lights and bluish glow ascending in a plumage of twisted steel shattered glass and confetti dashed upon the wheel  (whispered) get demolished get demolished get demolished you get demolished  get demolished get demolished get demolished you get demolished  when a car crash gets you off you've lost your grip when a fuck is not enough you know you've slipped when a church is full it means you've just been had when the world has gone to seed you're so detached  (whispered) get demolished get demolished get demolished you get demolished  get demolished get demolished get demolished you get demolished  got a feeling that i want you to be there got a feeling that i want you to be got a feeling that i want you to be there  got a feeling that i want you to be there got a feeling that i want you to be got a feeling that i want you to be there  got a feeling that i want you to be there got a feeling that i want you to be got a feeling that i want you to be there  got a feeling that i want you to be there got a feeling that i want you to be got a feeling that i want you to be there  driving by on my way to somewhere else i fill my lungs with a noxious burning smell there is weed and grey concrete like this for miles dead souls in my rear view mirror hitch a ride a while  i want to be loved just want to be loved i want to be loved just want to be loved i want to be loved just want to be loved i want to be loved just want to be loved  i want to be loved just want to be loved i want to be loved just want to be loved
0.00498,The Incident,https://api.spotify.com/v1/audio-analysis/5fZrEiSGXNpDSbtuHpDA0h,Porcupine Tree,0.41700000000000004,0.05206544558291283,0.703,5fZrEiSGXNpDSbtuHpDA0h,0.28800000000000003,0,0.45299999999999996,0.26519368236656965,1,Your Unpleasant Family,0.0277,0.4266254228892426,4,https://api.spotify.com/v1/tracks/5fZrEiSGXNpDSbtuHpDA0h,audio_features,spotify:track:5fZrEiSGXNpDSbtuHpDA0h,0.22,your unpleasant family smashed up my car (perfectly uncalled for)  your unpleasant family how vile they are (i crawl out of the wreckage on my knees)  it's alright my flower so what did we learn? (there i found regret amongst the trees)  snaps of a life we had in the garden we tear up the flowers
0.993,The Incident,https://api.spotify.com/v1/audio-analysis/6i7EMmCZwXHl72B8EaGNyM,Porcupine Tree,0.16399999999999998,0.05766646679593454,0.0337,6i7EMmCZwXHl72B8EaGNyM,0.948,2,0.0557,0.7867657446387704,1,The Yellow Windows of the Evening Train,0.0438,0.42775839718390013,4,https://api.spotify.com/v1/tracks/6i7EMmCZwXHl72B8EaGNyM,audio_features,spotify:track:6i7EMmCZwXHl72B8EaGNyM,0.037000000000000005,instrumental
0.0151,The Incident,https://api.spotify.com/v1/audio-analysis/3ai3l4GIofDQPcxrAoZiPs,Porcupine Tree,0.509,0.3363589185473158,0.574,3ai3l4GIofDQPcxrAoZiPs,0.209,5,0.158,0.2813268160370695,1,Time Flies,0.0288,0.6887060906590222,4,https://api.spotify.com/v1/tracks/3ai3l4GIofDQPcxrAoZiPs,audio_features,spotify:track:3ai3l4GIofDQPcxrAoZiPs,0.151,"i was born in '67 the year of ""sgt. pepper"" and ""are you experienced""  into a suburban heaven yeah it should have been forever it all seemed to make so much sense  but after a while you realise time flies and the best thing that you can do is take whatever comes to you 'cause time flies  she said luck is all you make it you just reach out and take it now let's dance a while  she said nothing ever happens if you don't make it happen and if you can't laugh then smile  but after a while you realise time flies and the best thing that you can do is take whatever comes to you 'cause time flies  and laughing under summer showers is still the way i see you now  how does time break down? with no marker, things slow down a conference of the strange and your family is deranged  i could tell you what i'm thinking while we sit here drinkin' but i'm not sure where to start  you see there's something wrong here i'm sorry if i'm not clear can you stop smoking your cigar?  but after a while you realise time flies and the best thing that you can do is take whatever comes to you 'cause time flies  and the coat you wore to alton towers is still the way i see you now"
0.889,The Incident,https://api.spotify.com/v1/audio-analysis/56yGKrecuX9J77pe2Oqknp,Porcupine Tree,0.314,0.05042071268878303,0.0144,56yGKrecuX9J77pe2Oqknp,0.81,7,0.109,0.3890034752634702,1,Degree Zero of Liberty,0.0521,0.4788897905841932,4,https://api.spotify.com/v1/tracks/56yGKrecuX9J77pe2Oqknp,audio_features,spotify:track:56yGKrecuX9J77pe2Oqknp,0.0824,instrumental
